market,market name,location,impact category,indicator,method,unit,score per kg H2
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,human toxicity: non-carcinogenic,comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: non-carcinogenic', 'comparative toxic unit for human (CTUh)')",CTUh,1.5872048430505295e-07
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,"human toxicity: non-carcinogenic, inorganics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: non-carcinogenic, inorganics', 'comparative toxic unit for human (CTUh)')",CTUh,1.5018593160511402e-07
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,"human toxicity: non-carcinogenic, organics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: non-carcinogenic, organics', 'comparative toxic unit for human (CTUh)')",CTUh,8.534552699938955e-09
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,ionising radiation: human health,human exposure efficiency relative to u235,"('EF v3.1', 'ionising radiation: human health', 'human exposure efficiency relative to u235')",kBq U235-Eq,0.5632070173790092
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,land use,soil quality index,"('EF v3.1', 'land use', 'soil quality index')",dimensionless,122.27734772795061
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),"('EF v3.1', 'material resources: metals/minerals', 'abiotic depletion potential (ADP): elements (ultimate reserves)')",kg Sb-Eq,0.0001165266829088119
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,ozone depletion,ozone depletion potential (ODP),"('EF v3.1', 'ozone depletion', 'ozone depletion potential (ODP)')",kg CFC-11-Eq,1.267151851701961e-07
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,particulate matter formation,impact on human health,"('EF v3.1', 'particulate matter formation', 'impact on human health')",disease incidence,1.3185647617166144e-07
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,photochemical oxidant formation: human health,tropospheric ozone concentration increase,"('EF v3.1', 'photochemical oxidant formation: human health', 'tropospheric ozone concentration increase')",kg NMVOC-Eq,0.006971365180621999
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,water use,user deprivation potential (deprivation-weighted water consumption),"('EF v3.1', 'water use', 'user deprivation potential (deprivation-weighted water consumption)')",m3 world Eq deprived,2.0525982142698362
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,0.6477818763424286
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,cumulative energy demand: non-renewable resources,energy content (HHV),"('Cumulative Energy Demand (CED)', 'energy resources: non-renewable', 'energy content (HHV)')",MJ-Eq,14.745361402602033
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,cumulative energy demand: renewable sources,energy content (HHV),"('Cumulative Energy Demand (CED)', 'energy resources: renewable', 'energy content (HHV)')",MJ-Eq,209.04562182311406
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,acidification,accumulated exceedance (AE),"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",mol H+-Eq,0.019196698153048503
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,climate change,global warming potential (GWP100),"('EF v3.1', 'climate change', 'global warming potential (GWP100)')",kg CO2-Eq,0.5238917877835467
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,climate change: biogenic,global warming potential (GWP100),"('EF v3.1', 'climate change: biogenic', 'global warming potential (GWP100)')",kg CO2-Eq,0.006151797572510194
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,climate change: fossil,global warming potential (GWP100),"('EF v3.1', 'climate change: fossil', 'global warming potential (GWP100)')",kg CO2-Eq,0.49945545399639335
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,climate change: land use and land use change,global warming potential (GWP100),"('EF v3.1', 'climate change: land use and land use change', 'global warming potential (GWP100)')",kg CO2-Eq,0.018284536214643172
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,ecotoxicity: freshwater,comparative toxic unit for ecosystems (CTUe),"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",CTUe,26.877369747832898
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,"ecotoxicity: freshwater, inorganics",comparative toxic unit for ecosystems (CTUe),"('EF v3.1', 'ecotoxicity: freshwater, inorganics', 'comparative toxic unit for ecosystems (CTUe)')",CTUe,26.230102305388947
