Sodium chlorate;water;ocean;kilogram;a857022f-c251-4665-81fb-dce3346ac8e4
Metalaxyl-M;air;unspecified;kilogram;10174d33-e2ca-5bd7-ae77-335c59edf286
Methane, chlorodifluoro-, HCFC-22;air;non-urban air or from high stacks;kilogram;56b7d3b6-83d7-42b0-a65b-5ad23e29db47
Desmedipham;soil;agricultural;kilogram;6b9bd023-b581-4dfe-8eca-069a4d646dfb
Tebupirimfos;soil;agricultural;kilogram;57d8084d-08e2-4212-9abf-3f051bee142e
Glucose;water;unspecified;kilogram;c082af51-1644-52fc-b49d-5b6c65eb1865
Glyphosate;water;surface water;kilogram;e157e3dd-88b9-4256-ab2e-ff82e7b8d088
Triethylene glycol;water;ground-, long-term;kilogram;1982d665-0aef-4909-876a-f0e6b74220b8
Plutonium-241;water;surface water;kilo Becquerel;b4b9964c-0ab6-4eae-a434-85d27f5ff3ae
Tebuthiuron;water;unspecified;kilogram;69ecea2b-2047-588d-9fe2-3ad2fcd3431f
Picoxystrobin;soil;forestry;kilogram;39adb2de-3853-53ef-b5be-46892b82e0fd
Famoxadone;soil;agricultural;kilogram;b2cf7804-89b9-5028-8c6e-d26363eda17a
Bupirimate;soil;agricultural;kilogram;b1e47fb9-ec5a-58df-918a-83909d93e6e8
Chlorine;air;urban air close to ground;kilogram;247ac273-60fa-4e21-9408-793f75fa1d37
Benzal chloride;water;surface water;kilogram;8205df0a-7e09-4b14-9391-1b149368fcf5
Radiation, electromagnetic;air;unspecified;megajoule;1ff59fcb-f634-422c-bbbf-63dae44d9485
Acetaldehyde;water;ground-, long-term;kilogram;5411a599-120a-4a1e-8916-85d43841da24
Occupation, heterogeneous, agricultural;natural resource;land;square meter-year;69c7d771-04fc-499e-84f8-6c7b923b8ced
