database,iam model,model label,scenario,scenario label,scenario key,warming bin,year,market,market location,impact category,indicator,method,unit,rank,process,process location,process key,score,share (%),impact label
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Chemicals,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,9,"electricity production, natural gas, combined cycle power plant",FR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', 'ed4b7163b4cd45cabe7389767125b9af')",0.06699877094966276,1.5513664376730603,Climate change — premise GWP incl. H₂
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Chemicals,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,10,"hydrogen supply, distributed by pipeline",EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', 'ca4ffb0d3a4b482fae2eaab51db65c2f')",0.06127583661865999,1.4188510479087453,Climate change — premise GWP incl. H₂
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Chemicals,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,11,Other,,,1.1928369009252537,27.620314633886558,Climate change — premise GWP incl. H₂
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Cement,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,1,"hydrogen production, steam methane reforming",EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '46bfddb2801948c59f24d2aec29eb2ee')",2.0835680067822677,45.72534689637452,Climate change — premise GWP incl. H₂
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Cement,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,2,"electricity production, natural gas, subcritical, steam cycle",EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '5bcb35b906294077b7acc1be7633cd45')",0.22140103335543698,4.858799434642624,Climate change — premise GWP incl. H₂
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Cement,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,3,natural gas venting from petroleum/natural gas production,GLO,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '48297805c5084c6182a62dcbb9c05cce')",0.18652011889602782,4.093313542880263,Climate change — premise GWP incl. H₂
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Cement,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,4,"electricity production, natural gas, combined cycle power plant",ES,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '90c207bfc84a41f18547f1ea7270520c')",0.1533195654387992,3.364704340280788,Climate change — premise GWP incl. H₂
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Cement,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,5,"electricity production, natural gas, combined cycle power plant",IT,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', 'fa45b4e70a5945c4a7484e2ef6754afe')",0.11497731659321712,2.5232570616009298,Climate change — premise GWP incl. H₂
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Cement,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,6,"sweet gas, burned in gas turbine",GLO,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '8f8a6e1786184765ab5249b8745da8b1')",0.11151353738670183,2.4472420214031505,Climate change — premise GWP incl. H₂
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Cement,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,7,"hydrogen production, steam methane reforming, with CCS",EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '115307cd34494f56a5092cd70be9eaa7')",0.11087743668269094,2.433282349697093,Climate change — premise GWP incl. H₂
