3563befa-20c2-4849-9597-b5ed2b5aaf41;('Phthalate, dibutyl-', ('water',), 'kilogram')
890c5bad-2446-483f-bc18-e8e514d866f2;('Chloramine', ('water', 'ground-, long-term'), 'kilogram')
0d30fcbb-9262-4026-8e0d-119fb12a04b0;('Hexamethyldisilizane', ('air', 'non-urban air or from high stacks'), 'kilogram')
64836dd0-8b0f-41ba-a7d3-be54358fc4b3;('Phenol', ('water', 'surface water'), 'kilogram')
7828852d-7a75-45ce-9e3b-4c443e3a1a63;('Cerium-144', ('air', 'non-urban air or from high stacks'), 'kilo Becquerel')
b02991d4-c180-4b16-8035-ac38f4a64b87;('Ethene', ('air', 'lower stratosphere + upper troposphere'), 'kilogram')
8842042d-7f07-45f8-bf43-fa83833d75de;('Energy, gross calorific value, in biomass, primary forest', ('natural resource', 'biotic'), 'megajoule')
17a5a406-333f-4b9e-8852-c2de50bc9585;('Transformation, from shrub land, sclerophyllous', ('natural resource', 'land'), 'square meter')
ef4884eb-c75d-4ef8-9170-11b20401cbca;('MSMA', ('soil', 'agricultural'), 'kilogram')
7238734e-18ef-4759-914d-61e9ed11bd4e;('Methyl amine', ('air', 'urban air close to ground'), 'kilogram')
b8ba284a-9560-40a1-bde9-75943d8c923a;('Chlorosulfonic acid', ('air', 'low population density, long-term'), 'kilogram')
79459b74-727a-465f-b0cb-aae38d1d39cc;('Oils, non-fossil', ('soil', 'agricultural'), 'kilogram')
e65a9c58-21f1-48b6-b738-d05a8f10e5f3;('Chromium', ('soil', 'industrial'), 'kilogram')
9841f5a4-027e-4dbf-87fe-f0bcf56b91ab;('Vanadium', ('air', 'lower stratosphere + upper troposphere'), 'kilogram')
81c4ba39-8a3f-4a43-97b4-401605bbebf5;('Benzo(a)pyrene', ('air', 'non-urban air or from high stacks'), 'kilogram')
08e8878b-4069-4b49-8bca-0dd7c9b44b71;('Promethium-147', ('air', 'urban air close to ground'), 'kilo Becquerel')
11a2a7b1-ab2f-47b8-9e29-6f33d5207fa6;('Gypsum, in ground', ('natural resource', 'in ground'), 'kilogram')
5e98fd60-8da0-4006-9729-4d2797f96302;('2,2,4-Trimethyl pentane', ('air',), 'kilogram')
843fd145-61ac-4fa7-a608-ce4ac4d88d49;('Ethane, 1,1-dichloro-1-fluoro-, HCFC-141b', ('air',), 'kilogram')
e4369d6b-1c65-455b-bce2-8b74636a3c80;('Benazolin', ('soil', 'agricultural'), 'kilogram')
14de323f-9e2d-4beb-b28e-6b93bae98da8;('Transformation, to inland waterbody, unspecified', ('natural resource', 'land'), 'square meter')
3ef6e30a-9742-48c8-adcd-48e38148004c;('Plutonium-alpha', ('air',), 'kilo Becquerel')
a2f886e3-8db8-4bce-bedf-b2004b4cc558;('Ethofumesate', ('soil', 'agricultural'), 'kilogram')
9cc80820-fcf9-4ea9-8e67-0aa423eba6a4;('Transformation, from forest, secondary (non-use)', ('natural resource', 'land'), 'square meter')
6fae9979-43ec-4675-8714-671731b4e283;('Carbon-14', ('water', 'ground-'), 'kilo Becquerel')
