metal working, average for chromium steel product manufacturing;metal working, average for chromium steel product manufacturing;kilogram;RER;14191
market group for inorganic nitrogen fertiliser, as N;inorganic nitrogen fertiliser, as N;kilogram;RER;14192
electricity production, wind, >3MW turbine, onshore;electricity, high voltage;kilowatt hour;CA-ON;14193
market for gypsum, mineral;gypsum, mineral;kilogram;RoW;14194
market for waste polyethylene terephthalate;waste polyethylene terephthalate;kilogram;BE;14195
market for ethanol, without water, in 99.7% solution state, from ethylene;ethanol, without water, in 99.7% solution state, from ethylene;kilogram;RER;14196
treatment of waste wood, untreated, open dump, wet infiltration class (500mm);waste wood, untreated;kilogram;GLO;14197
acetone cyanohydrin production;acetone cyanohydrin;kilogram;RoW;14198
treatment of hard coal ash, residual material landfill;hard coal ash;kilogram;NL;14199
nutrient supply from ammonia, anhydrous, liquid;inorganic nitrogen fertiliser, as N;kilogram;UN-SEASIA;14200
power sawing, with catalytic converter;power sawing, with catalytic converter;hour;RER;14201
concrete production, 40MPa, ready-mix, with cement, pozzolana and fly ash 36-55%;concrete, 40MPa;cubic meter;RoW;14202
market for passenger car, diesel;passenger car, diesel;kilogram;GLO;14203
hydraulic fluid production, for geological stimulation;hydraulic fracturing fluid;cubic meter;GLO;14204
market for weaned calves, live weight;weaned calves, live weight;kilogram;RoW;14205
treatment of waste emulsion paint, inert material landfill;waste emulsion paint;kilogram;RoW;14206
market for concentrated solar power plant, solar tower, 20 MW;concentrated solar power plant, solar tower, 20 MW;unit;GLO;14207
sugarcane production;sugarcane;kilogram;BR-PR;14208
wood preservation, dipping/immersion, water-based preservative, indoor use, dry;wood preservation, dipping/immersion method, water-based, indoor use, dry;kilogram;RER;14209
electricity production, wind, >3MW turbine, onshore;electricity, high voltage;kilowatt hour;US-TRE;14210
electricity production, natural gas, combined cycle power plant;electricity, high voltage;kilowatt hour;AR;14211
electricity production, oil;electricity, high voltage;kilowatt hour;CL;14212
market for sulfidic tailings, from gold mine operation;sulfidic tailings, from gold mine operation;kilogram;AR;14213
treatment of waste polyurethane, unsanitary landfill, dry infiltration class (100mm);waste polyurethane;kilogram;GLO;14214
market for solar glass, low-iron;solar glass, low-iron;kilogram;GLO;14215
cocamide diethanolamine production;ammonia, anhydrous, liquid;kilogram;RoW;14216
clear-cutting, grassland to arable land, pasture, man made;land tenure, arable land, measured as carbon net primary productivity, pasture, man made;kilogram;BR-MG;14217
market for funnel glass, for cathode ray tube display;funnel glass, for cathode ray tube display;kilogram;GLO;14218
electricity production, wind, <1MW turbine, onshore;electricity, high voltage;kilowatt hour;UA;14219
market for miscanthus rhizome, for planting;miscanthus rhizome, for planting;unit;GLO;14220
treatment of waste polyethylene terephthalate, municipal incineration;heat, for reuse in municipal waste incineration only;megajoule;RoW;14221
catalytic converter production, oxidation, 20 litre;catalytic converter, oxidation, 20 litre;unit;RoW;14222
market for inorganic potassium fertiliser, as K2O;inorganic potassium fertiliser, as K2O;kilogram;TH;14223
land use change, pasture, man made;land use change, pasture, man made;hectare;BR-PA;14224
market for land use change, paddy rice;land use change, paddy rice;hectare;CN;14225
electricity production, hydro, run-of-river;electricity, high voltage;kilowatt hour;RO;14226
planing, board, hardwood, u=10%;shavings, hardwood, loose, measured as dry mass;kilogram;Europe without Switzerland;14227
market for castor bean;castor bean;kilogram;GLO;14228
lime mortar production;lime mortar;kilogram;CH;14229
biogas production from grass;grass fibre;kilogram;CH;14230
anode production, paste, for aluminium electrolysis;anode, paste, for aluminium electrolysis;kilogram;RoW;14231
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;heat, district or industrial, other than natural gas;megajoule;PT;14232
heavy fuel oil, import from RoW;heavy fuel oil;kilogram;BR;14233
market for urea formaldehyde foam slab, hard;urea formaldehyde foam slab, hard;kilogram;GLO;14234
planing, beam, hardwood, u=20%;sawnwood, beam, hardwood, dried (u=20%), planed;cubic meter;Europe without Switzerland;14235
market for transport, freight, lorry with refrigeration machine, 3.5-7.5 ton, EURO3, R134a refrigerant, freezing;transport, freight, lorry with refrigeration machine, 3.5-7.5 ton, EURO3, R134a refrigerant, freezing;ton kilometer;GLO;14236
nutrient supply from monoammonium phosphate;inorganic nitrogen fertiliser, as N;kilogram;RNA;14237
printed wiring board production, surface mounted, unspecified, Pb free;printed wiring board, surface mounted, unspecified, Pb free;kilogram;GLO;14238
potassium sulfate production;potassium sulfate;kilogram;RER;14239
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;heat, district or industrial, other than natural gas;megajoule;CA-AB;14240
transport, tractor and trailer, agricultural;transport, tractor and trailer, agricultural;ton kilometer;CH;14241
cocoon production, silkworm rearing;cocoons;kilogram;RoW;14242
cabbage white production;cabbage white;kilogram;IN-MH;14243
treatment of blast furnace gas, in power plant;heat, district or industrial, other than natural gas;megajoule;CN-GD;14244
plywood production;plywood;cubic meter;RER;14245
market for acetone cyanohydrin;acetone cyanohydrin;kilogram;RER;14246
treatment of bagasse, from sugarcane, in heat and power co-generation unit, 6400kW thermal;electricity, high voltage;kilowatt hour;BR-Southern grid;14247
electricity production, lignite;electricity, high voltage;kilowatt hour;IN-RJ;14248
market for waste polyvinylchloride;waste polyvinylchloride;kilogram;CH;14249
paper sack production;paper sack;kilogram;RER;14250
market for sawlog and veneer log, softwood, debarked, measured as solid wood;sawlog and veneer log, softwood, debarked, measured as solid wood;cubic meter;RoW;14251
treatment of blast furnace gas, in power plant;heat, district or industrial, other than natural gas;megajoule;HU;14252
market for mine infrastructure, underground, hard coal;mine infrastructure, underground, hard coal;unit;GLO;14253
market for heat and power co-generation unit construction, 6400kW thermal, common components for heat+electricity;heat and power co-generation unit, 6400kW thermal, common components for heat+electricity;unit;GLO;14254
flyash brick production;flyash brick;kilogram;RoW;14255
market for waste packaging paper;waste packaging paper;kilogram;CY;14256
transport, freight, aircraft, belly-freight, short haul;transport, freight, aircraft, short haul;ton kilometer;GLO;14257
market for transport, freight, train with reefer, cooling;transport, freight, train with reefer, cooling;ton kilometer;GLO;14258
market for hard coal;hard coal;kilogram;RNA;14259
transport, freight train, steam;transport, freight train;ton kilometer;CN;14260
market for nitric acid, without water, in 50% solution state;nitric acid, without water, in 50% solution state;kilogram;UN-SEASIA;14261
magnesium production, electrolysis;chlorine, liquid;kilogram;RoW;14262
sugarcane processing, traditional annexed plant;ethanol, without water, in 95% solution state, from fermentation;kilogram;CO;14263
pipeline construction, natural gas, low pressure distribution network;pipeline, natural gas, low pressure distribution network;kilometer;CH;14264
electricity voltage transformation from medium to low voltage;electricity, low voltage;kilowatt hour;PL;14265
cathode production, LiMn2O4, for lithium-ion battery;cathode, LiMn2O4, for lithium-ion battery;kilogram;RoW;14266
market for diesel, burned in diesel-electric generating set, 18.5kW;diesel, burned in diesel-electric generating set, 18.5kW;megajoule;GLO;14267
electricity production, hard coal;electricity, high voltage;kilowatt hour;CZ;14268
market for waste paperboard, unsorted;waste paperboard, unsorted;kilogram;RoW;14269
aluminium oxide production;aluminium oxide, metallurgical;kilogram;CN;14270
mine infrastructure construction, underground, uranium;mine infrastructure, underground, uranium;unit;RNA;14271
market for water, decarbonised;water, decarbonised;kilogram;IN;14272
heat and power co-generation, oil;heat, district or industrial, other than natural gas;megajoule;US-TRE;14273
electricity production, natural gas, combined cycle power plant;electricity, high voltage;kilowatt hour;CN-JL;14274
uranium fuel element production, enriched 4%, for light water reactor;uranium, enriched 4%, in fuel element for light water reactor;kilogram;DE;14275
inductor production, ring core choke type;inductor, ring core choke type;kilogram;GLO;14276
mine construction, phosphate rock;mine infrastructure, phosphate rock;unit;RoW;14277
electricity, low voltage, photovoltaic, import from Germany;electricity, low voltage;kilowatt hour;CH;14278
market for dinitrogen tetroxide;dinitrogen tetroxide;kilogram;GLO;14279
patagonian grenadier, capture by trawler and landing in fish blocks, frozen;fishmeal, 63-65% protein;kilogram;RoW;14280
market for waste polypropylene;waste polypropylene;kilogram;BE;14281
treatment of waste polyethylene terephthalate, open dump, hyperarid infiltration class (-250mm);waste polyethylene terephthalate;kilogram;GLO;14282
cement production, pozzolana and fly ash 36-55%;hard coal ash;kilogram;CH;14283
market for compressed air, 600 kPa gauge;compressed air, 600 kPa gauge;cubic meter;RER;14284
market for flat glass, uncoated;flat glass, uncoated;kilogram;RER;14285
market for sodium hypochlorite, without water, in 15% solution state;sodium hypochlorite, without water, in 15% solution state;kilogram;RER;14286
stucco production;stucco;kilogram;CH;14287
treatment of blast furnace gas, in power plant;electricity, high voltage;kilowatt hour;CN-HE;14288
energy saving, from ventilation system, 6 x 120 m3/h, steel ducts;energy saving;megajoule;RoW;14289
transport, freight train, diesel;transport, freight train;ton kilometer;Europe without Switzerland;14290
tempering, flat glass;tempering, flat glass;kilogram;RER;14291
treatment of salt tailing from potash mine, residual material landfill;salt tailing from potash mine;kilogram;RoW;14292
market for land use change, perennial crop;land use change, perennial crop;hectare;BR-RJ;14293
cement production, limestone 6-10%;cement, limestone 6-10%;kilogram;BR;14294
market for vinasse, from fermentation of sugar beet;vinasse, from fermentation of sugar beet;kilogram;GLO;14295
treatment of automobile catalyst;palladium;kilogram;RoW;14296
clear-cutting, primary forest to arable land, perennial crop;land tenure, arable land, measured as carbon net primary productivity, perennial crop;kilogram;AR;14297
hardwood forestry, beech, sustainable forest management;wood chips, wet, measured as dry mass;kilogram;RoW;14298
market for sulfidic tailings, from silver mine operation;sulfidic tailings, from silver mine operation;kilogram;AU;14299
electricity production, hard coal;electricity, high voltage;kilowatt hour;IN-DL;14300
treatment of waste emulsion paint, hazardous waste incineration, with energy recovery;electricity, for reuse in municipal waste incineration only;kilowatt hour;RoW;14301
market for sulfite pulp, bleached;sulfite pulp, bleached;kilogram;GLO;14302
treatment of wood ash mixture, pure, municipal incineration;wood ash mixture, pure;kilogram;RoW;14303
market for hard coal briquettes factory;hard coal briquettes factory;unit;GLO;14304
vinasse, from fermentation of sugar beet molasses, Recycled Content cut-off;vinasse, from fermentation of sugar beet molasses;kilogram;GLO;14305
market for residual material landfill;residual material landfill;unit;GLO;14306
electricity production, hydro, run-of-river, label-certified;electricity, high voltage, label-certified;kilowatt hour;CH;14307
hydroformylation of butene;2-methyl-1-butanol;kilogram;RoW;14308
treatment of waste plaster-cardboard sandwich, recycling;waste plaster-cardboard sandwich;kilogram;CH;14309
distribution network construction, electricity, low voltage;distribution network, electricity, low voltage;kilometer;CH;14310
electricity production, hard coal;electricity, high voltage;kilowatt hour;US-HICC;14311
nutrient supply from monoammonium phosphate;inorganic nitrogen fertiliser, as N;kilogram;RER;14312
photovoltaic panel production, single-Si wafer;photovoltaic panel, single-Si wafer;square meter;RER;14313
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, laminated, integrated;electricity, low voltage;kilowatt hour;CH;14314
market for sulfidic tailings, from zinc-lead mine operation;sulfidic tailings, from zinc-lead mine operation;kilogram;KZ;14315
market for laser machining, metal, with YAG-laser, 330W power;laser machining, metal, with YAG-laser, 330W power;hour;GLO;14316
nutrient supply from NPK (15-15-15) fertiliser;inorganic phosphorus fertiliser, as P2O5;kilogram;RoW;14317
clinker production;blast furnace sludge;kilogram;Europe without Switzerland;14318
market for sulfidic tailings, from zinc-lead mine operation;sulfidic tailings, from zinc-lead mine operation;kilogram;MX;14319
operation, computer, laptop, standby/sleep mode;operation, computer, laptop, standby/sleep mode;hour;CA-QC;14320
electricity voltage transformation from medium to low voltage;electricity, low voltage;kilowatt hour;CM;14321
deep well drilling, for deep geothermal power;deep well, drilled, for geothermal power;meter;PH;14322
yarn production, silk, short fibre;yarn, silk;kilogram;IN;14323
market for calcium chloride;calcium chloride;kilogram;RER;14324
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;electricity, low voltage;kilowatt hour;PL;14325
dehydrogenation of butan-1,4-diol;butyrolactone;kilogram;RER;14326
electricity production, nuclear, pressure water reactor;electricity, high voltage;kilowatt hour;IN-TN;14327
transport, freight, inland waterways, barge tanker;transport, freight, inland waterways, barge tanker;ton kilometer;RER;14328
market for carbon fibre reinforced plastic, injection moulded;carbon fibre reinforced plastic, injection moulded;kilogram;GLO;14329
sheep production, for meat;sheep for slaughtering, live weight;kilogram;RoW;14330
polyethylene pipe production, DN 200, SDR 41;polyethylene pipe, DN 200, SDR 41;meter;RoW;14331
market for municipal solid waste;municipal solid waste;kilogram;SK;14332
panel glass production, for cathode ray tube display;panel glass, for cathode ray tube display;kilogram;GLO;14333
market for C3 hydrocarbon mixture;C3 hydrocarbon mixture;kilogram;GLO;14334
market for waste polystyrene;waste polystyrene;kilogram;EE;14335
treatment, sludge from pulp and paper production, landfarming;organo-mineral phosphorus fertiliser, as P2O5;kilogram;CA-QC;14336
welding, arc, steel;welding, arc, steel;meter;RER;14337
water works construction, capacity 1.1E10l/year, direct filtration treatment;water works, capacity 1.1E10l/year;unit;CA-QC;14338
aniline production;aniline;kilogram;RoW;14339
calcium nitrate production;ammonium nitrate;kilogram;RER;14340
treatment of waste wood pole, chrome preserved, municipal incineration with fly ash extraction;waste wood pole, chrome preserved;kilogram;CH;14341
cement production, fly ash 6-20%;cement, portland fly ash cement 6-20%;kilogram;RoW;14342
market for heat, central or small-scale, other than natural gas;heat, central or small-scale, other than natural gas;megajoule;RoW;14343
electricity voltage transformation from high to medium voltage;electricity, medium voltage;kilowatt hour;DZ;14344
market for purge gas, rich in sodium nitrate;purge gas, rich in sodium nitrate;kilogram;CL;14345
market for transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO3, carbon dioxide, liquid refri(...)_14;transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO3, carbon dioxide, liquid refrigerant, freezing;ton kilometer;GLO;14346
paint production, for electrostatic painting for aluminium;electrostatic paint;kilogram;GLO;14347
electricity production, wind, 1-3MW turbine, onshore;electricity, high voltage;kilowatt hour;ES;14348
textile production, silk;textile, silk;kilogram;IN;14349
market for fly ash and scrubber sludge;fly ash and scrubber sludge;kilogram;RoW;14350
market for benzaldehyde-2-sulfonic acid;benzaldehyde-2-sulfonic acid;kilogram;GLO;14351
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;electricity, high voltage;kilowatt hour;CA-SK;14352
market for cast iron removed by milling, large parts;cast iron removed by milling, large parts;kilogram;GLO;14353
market for heat, for reuse in municipal waste incineration only;heat, for reuse in municipal waste incineration only;megajoule;SK;14354
planting, tree;planting tree;unit;CH;14355
market for nickel smelter slag;nickel smelter slag;kilogram;GLO;14356
beverage carton converting;beverage carton converting;square meter;GLO;14357
charger production, for electric scooter;charger, for electric scooter;kilogram;GLO;14358
treatment of hazardous waste, hazardous waste incineration, with energy recovery;electricity, for reuse in municipal waste incineration only;kilowatt hour;RoW;14359
fluorescent whitening agent production, DAS1, triazinylaminostilben type;fluorescent whitening agent, DAS1, triazinylaminostilben type;kilogram;RER;14360
waste paperboard, sorted, Recycled Content cut-off;waste paperboard, sorted;kilogram;GLO;14361
mini CHP plant construction, common components for heat+electricity;mini CHP plant, common components for heat+electricity;unit;RoW;14362
nuclear waste storage construction, final repository for high level radioactive waste;nuclear waste storage, final repository for high level radioactive waste;unit;CH;14363
planing, board, softwood, u=10%;shavings, softwood, loose, measured as dry mass;kilogram;CA-QC;14364
operation, solar collector system, Cu flat plate collector, one-family house, for hot water;heat, central or small-scale, other than natural gas;megajoule;CH;14365
hard coal mine operation and hard coal preparation;hard coal;kilogram;ID;14366
maintenance, train, passenger, high-speed;maintenance, train, passenger, high-speed;unit;DE;14367
market for hydrogen, liquid;hydrogen, liquid;kilogram;RoW;14368
heat and power co-generation unit construction, 6400kW thermal, common components for heat+electricity;heat and power co-generation unit, 6400kW thermal, common components for heat+electricity;unit;CH;14369
electricity voltage transformation from medium to low voltage;electricity, low voltage;kilowatt hour;SD;14370
market for ethane;ethane;kilogram;GLO;14371
electricity production, nuclear, pressure water reactor;electricity, high voltage;kilowatt hour;SE;14372
sulfate pulp production, from softwood, bleached;sawdust, wet, measured as dry mass;kilogram;RER;14373
natural gas, burned in gas motor, for storage;natural gas, burned in gas motor, for storage;megajoule;DE;14374
butter production, from cow milk;butter, from cow milk;kilogram;GLO;14375
flat glass production, uncoated;flat glass, uncoated;kilogram;RoW;14376
treatment of aluminium scrap, new, at refiner;aluminium oxide, non-metallurgical;kilogram;RER;14377
seal production, natural rubber based;seal, natural rubber based;kilogram;DE;14378
market for oat seed, for sowing;oat seed, for sowing;kilogram;GLO;14379
heat and power co-generation, biogas, gas engine;heat, central or small-scale, other than natural gas;megajoule;US-HICC;14380
clear-cutting, grassland to arable land, pasture, man made;land tenure, arable land, measured as carbon net primary productivity, pasture, man made;kilogram;BR-ES;14381
market for selenium;selenium;kilogram;GLO;14382
market for charger, electric passenger car;charger, electric passenger car;kilogram;GLO;14383
market for waste polyethylene;waste polyethylene;kilogram;PE;14384
primary zinc production from concentrate;copper cake;kilogram;RoW;14385
land use change, perennial crop;land use change, perennial crop;hectare;CI;14386
diesel production, petroleum refinery operation;diesel;kilogram;RoW;14387
market for propylene;propylene;kilogram;RER;14388
market for orbencarb;orbencarb;kilogram;GLO;14389
cement production, limestone 6-20%;cement, limestone 6-20%;kilogram;ZA;14390
market for land use change, annual crop;land use change, annual crop;hectare;IL;14391
petroleum refinery operation;naphtha;kilogram;CH;14392
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;electricity, high voltage;kilowatt hour;NO;14393
maintenance, tanker, for liquefied natural gas;maintenance, tanker, for liquefied natural gas;unit;GLO;14394
market for basic oxygen furnace slag, for recovery;basic oxygen furnace slag, for recovery;kilogram;RoW;14395
market for sulfur dioxide, liquid;sulfur dioxide, liquid;kilogram;RoW;14396
market for heat, for reuse in municipal waste incineration only;heat, for reuse in municipal waste incineration only;megajoule;LU;14397
treatment of municipal solid waste, incineration;heat, for reuse in municipal waste incineration only;megajoule;TW;14398
nuclear spent fuel reprocessing facility construction;nuclear spent fuel reprocessing facility;unit;RoW;14399
electricity production, oil;electricity, high voltage;kilowatt hour;US-RFC;14400
cement production, pozzolana and fly ash 11-35%;hard coal ash;kilogram;RoW;14401
market for transport, freight, lorry 16-32 metric ton, EURO5;transport, freight, lorry 16-32 metric ton, EURO5;ton kilometer;RER;14402
treatment of residue from mechanical treatment, laptop computer, municipal waste incineration;electricity, for reuse in municipal waste incineration only;kilowatt hour;RoW;14403
intensive beef cattle production on pasture;weaned calves, live weight;kilogram;BR;14404
market for land tenure, arable land, measured as carbon net primary productivity, annual crop;land tenure, arable land, measured as carbon net primary productivity, annual crop;kilogram;BR-AL;14405
market for waste polyvinylchloride;waste polyvinylchloride;kilogram;IE;14406
market for land tenure, arable land, measured as carbon net primary productivity, perennial crop;land tenure, arable land, measured as carbon net primary productivity, perennial crop;kilogram;BR-MT;14407
copper sulfate production;copper sulfate;kilogram;GLO;14408
flax production;flax plant, harvested;kilogram;IN;14409
treatment of residue from mechanical treatment, cathode ray tube display, municipal waste incineration;residue from mechanical treatment, cathode ray tube display;kilogram;RoW;14410
electricity production, peat;electricity, high voltage;kilowatt hour;EE;14411
market for hexane;hexane;kilogram;GLO;14412
market for phthalimide;phthalimide;kilogram;GLO;14413
market for oxygen, liquid;oxygen, liquid;kilogram;RER;14414
mine construction, underground, non-ferrous metal;mine infrastructure, underground, non-ferrous metal;unit;GLO;14415
treatment of used refrigeration machine, carbon dioxide, liquid as refrigerant;used refrigeration machine, carbon dioxide, liquid as refrigerant;unit;GLO;14416
land use change, perennial crop;land use change, perennial crop;hectare;BR-AP;14417
electricity production, hydro, reservoir, non-alpine region;electricity, high voltage;kilowatt hour;SE;14418
machine operation, diesel, >= 18.64 kW and < 74.57 kW, generators;machine operation, diesel, >= 18.64 kW and < 74.57 kW, generators;hour;GLO;14419
market for straw;straw;kilogram;RoW;14420
transport, passenger car, EURO 4;transport, passenger car, EURO 4;kilometer;RoW;14421
phenol production, from cumene;phenol;kilogram;RoW;14422
market for planting, sugarcane;planting, sugarcane;hectare;GLO;14423
vinasse, from fermentation of sugarcane molasses, Recycled Content cut-off;vinasse, from fermentation of sugarcane molasses;kilogram;GLO;14424
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;electricity, low voltage;kilowatt hour;CA-BC;14425
treatment of wastewater from particleboard production, capacity 5E9l/year;wastewater from particleboard production;cubic meter;RER;14426
market for transport, passenger car, small size, natural gas, EURO 3;transport, passenger car, small size, natural gas, EURO 3;kilometer;GLO;14427
transistor production, auxilliaries and energy use;transistor, auxilliaries and energy use;kilogram;GLO;14428
market for hard coal coke factory;hard coal coke factory;unit;GLO;14429
treatment of municipal solid waste, incineration;municipal solid waste;kilogram;AT;14430
operation, computer, laptop, active mode;operation, computer, laptop, active mode;hour;CH;14431
sulfate pulp production, from softwood, unbleached;heat, district or industrial, other than natural gas;megajoule;RER;14432
electricity production, oil;electricity, high voltage;kilowatt hour;EE;14433
market for land use change, annual crop;land use change, annual crop;hectare;BR-RS;14434
treatment of blast furnace gas, in power plant;heat, district or industrial, other than natural gas;megajoule;SK;14435
market for propylene glycol, liquid;propylene glycol, liquid;kilogram;RER;14436
treatment of blast furnace dust, residual material landfill;blast furnace dust;kilogram;GLO;14437
liquefied petroleum gas production, petroleum refinery operation;liquefied petroleum gas;kilogram;BR;14438
glazing production, triple, U<0.5 W/m2K;glazing, triple, U<0.5 W/m2K;square meter;RER;14439
hay production, organic, intensive;hay, organic, intensive;kilogram;RoW;14440
tap water production, direct filtration treatment;tap water;kilogram;PE;14441
market for land use change, annual crop;land use change, annual crop;hectare;BR-DF;14442
market for land use change, annual crop;land use change, annual crop;hectare;BR-AP;14443
copper mine operation and beneficiation, sulfide ore;molybdenite;kilogram;US;14444
treatment of Sn-based antifouling paint emissions;antifouling paint emissions;kilogram;PE;14445
milking parlour construction;milking parlour;unit;CH;14446
electricity production, deep geothermal;electricity, high voltage;kilowatt hour;RoW;14447
heat and power co-generation, biogas, gas engine;electricity, high voltage;kilowatt hour;PE;14448
heat and power co-generation, oil;electricity, high voltage;kilowatt hour;PT;14449
land use change, annual crop;land use change, annual crop;hectare;ES;14450
casting, bronze;casting, bronze;kilogram;RoW;14451
market for waste polyvinylchloride;waste polyvinylchloride;kilogram;FR;14452
market for reefer, intermodal shipping container, 40-foot, high-cube, carbon dioxide, liquid as refrigerant;reefer, intermodal shipping container, 40-foot, high-cube, carbon dioxide, liquid as refrigerant;unit;GLO;14453
wheat bran to generic market for energy feed;energy feed, gross;megajoule;RoW;14454
market for tetrafluoroethylene;tetrafluoroethylene;kilogram;GLO;14455
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;heat, district or industrial, natural gas;megajoule;FR;14456
treatment of waste paperboard, unsanitary landfill, wet infiltration class (500mm);waste paperboard;kilogram;GLO;14457
primary lead production from concentrate;sulfuric acid;kilogram;GLO;14458
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;electricity, high voltage;kilowatt hour;ES;14459
market group for heat, central or small-scale, biomethane;heat, central or small-scale, biomethane;megajoule;RER;14460
treatment of waste x-ray film;silver;kilogram;GLO;14461
market for mine infrastructure, treatment of sulfidic tailing, off-site, high gold content;mine infrastructure, treatment of sulfidic tailing, off-site, high gold content;unit;GLO;14462
land already in use, annual cropland to perennial crop;land tenure, arable land, measured as carbon net primary productivity, perennial crop;kilogram;CR;14463
market for basic oxygen furnace sludge, for recovery;basic oxygen furnace sludge, for recovery;kilogram;RoW;14464
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;electricity, high voltage;kilowatt hour;EE;14465
market for electric powertrain, for electric scooter;powertrain, for electric scooter;kilogram;GLO;14466
market for heat and power co-generation unit, 200kW electrical, diesel SCR, common components for heat+electricity;heat and power co-generation unit, 200kW electrical, diesel SCR, common components for heat+electricity;unit;GLO;14467
pitch despergents production, in paper production;pitch despergents, in paper production;kilogram;RoW;14468
market for aminopyridine;aminopyridine;kilogram;RER;14469
molybdenum production;cadmium sludge from zinc electrolysis;kilogram;RER;14470
nutrient supply from monoammonium phosphate;inorganic phosphorus fertiliser, as P2O5;kilogram;CN;14471
ethanol, from fermentation, to market for ethanol, vehicle grade;ethanol, without water, in 99.7% solution state, vehicle grade;kilogram;RoW;14472
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;electricity, low voltage;kilowatt hour;TR;14473
market for alkyl sulphate (C12-14);alkyl sulphate (C12-14);kilogram;GLO;14474
platinum group metal, extraction and refinery operations;palladium;kilogram;ZA;14475
trimethylamine production;trimethylamine;kilogram;RoW;14476
electricity production, wind, 1-3MW turbine, onshore;electricity, high voltage;kilowatt hour;CN-TJ;14477
electricity production, hydro, run-of-river;electricity, high voltage;kilowatt hour;IN-SK;14478
sulfate pulp production, from eucalyptus, bleached;electricity, high voltage;kilowatt hour;RoW;14479
p-nitrotoluene production;p-nitrotoluene;kilogram;RER;14480
market for pyridazine-compound;pyridazine-compound;kilogram;GLO;14481
electricity production, wind, 1-3MW turbine, onshore;electricity, high voltage;kilowatt hour;TR;14482
electricity production, oil;electricity, high voltage;kilowatt hour;US-FRCC;14483
soybean production;soybean;kilogram;BR-PR;14484
phosgene production, liquid;phosgene, liquid;kilogram;RER;14485
land use change, annual crop;land use change, annual crop;hectare;BR-AM;14486
methyl formate production;methyl formate;kilogram;RER;14487
market for industrial furnace, natural gas;industrial furnace, natural gas;unit;GLO;14488
market for waste glass;waste glass;kilogram;EE;14489
nitric acid production, product in 50% solution state;steam, in chemical industry;kilogram;CN;14490
treatment of wood ash mixture, pure, landfarming;wood ash mixture, pure;kilogram;Europe without Switzerland;14491
market for waste polypropylene;waste polypropylene;kilogram;IS;14492
trimesoyl chloride production, for membrane filtration production;trimesoyl chloride;kilogram;GLO;14493
operation, computer, desktop, with liquid crystal display, standby mode;operation, computer, desktop, with liquid crystal display, standby mode;hour;RoW;14494
garage construction, wood, non-insulated, fire-protected;garage, wood, non-insulated, fire-protected;square meter;RoW;14495
market for cement plaster;cement plaster;cubic meter;RoW;14496
electricity production, photovoltaic, 570kWp open ground installation, multi-Si;electricity, low voltage;kilowatt hour;CN-LN;14497
beam, hardwood, raw, kiln drying to u=10%;sawnwood, beam, hardwood, raw, dried (u=10%);cubic meter;CH;14498
market for chemical, organic;chemical, organic;kilogram;GLO;14499
land already in use, perennial cropland to perennial crop;land tenure, arable land, measured as carbon net primary productivity, perennial crop;kilogram;BR-CE;14500
packing, lime product;packing, lime product;kilogram;RoW;14501
treatment of bagasse, from sugarcane, in heat and power co-generation unit, 6400kW thermal;electricity, high voltage;kilowatt hour;BR-South-eastern grid;14502
gypsum quarry operation;gypsum, mineral;kilogram;RoW;14503
mango production;mango;kilogram;BR;14504
treatment of waste wood, untreated, municipal incineration with fly ash extraction;waste wood, untreated;kilogram;CH;14505
sodium silicate production, furnace process, solid product;sodium silicate, solid;kilogram;RER;14506
market for transport, freight, sea, container ship with reefer, freezing;transport, freight, sea, container ship with reefer, freezing;ton kilometer;GLO;14507
market for waste polyethylene terephthalate;waste polyethylene terephthalate;kilogram;DE;14508
market for spent activated carbon with mercury;spent activated carbon with mercury;kilogram;GLO;14509
steel milling, large parts;steel removed by milling, large parts;kilogram;RoW;14510
limestone production, crushed, for mill;limestone, crushed, for mill;kilogram;CH;14511
market for wood wool boards, cement bonded;wood wool boards, cement bonded;cubic meter;RER;14512
market for light fuel oil;light fuel oil;kilogram;CO;14513
treatment of waste graphical paper, municipal incineration with fly ash extraction;electricity, for reuse in municipal waste incineration only;kilowatt hour;CH;14514
market for impact extrusion of aluminium, 5 strokes;impact extrusion of aluminium, 5 strokes;kilogram;GLO;14515
market for gypsum, mineral;gypsum, mineral;kilogram;RER;14516
sputtering, indium tin oxide, for liquid crystal display;sputtering, indium tin oxide, for liquid crystal display;cubic meter;RER;14517
market for display, cathode ray tube, 17 inches;display, cathode ray tube, 17 inches;unit;GLO;14518
