electricity production, hydro, reservoir, alpine region;electricity, high voltage;kilowatt hour;CA-NT;202
market for polystyrene, expandable;polystyrene, expandable;kilogram;GLO;203
glass fibre reinforced plastic production, polyester resin, hand lay-up;glass fibre reinforced plastic, polyester resin, hand lay-up;kilogram;RoW;204
cottonseed, organic to generic market for energy feed;protein feed, 100% crude;kilogram;RoW;205
market for spent anion exchange resin from potable water production;spent anion exchange resin from potable water production;kilogram;RoW;206
market for waste plastic, mixture;waste plastic, mixture;kilogram;IN;207
market for municipal solid waste;municipal solid waste;kilogram;DK;208
iron ore mine operation and beneficiation;iron ore concentrate;kilogram;RoW;209
market for wood preservation, dipping/immersion method, water-based, indoor use, occasionally wet;wood preservation, dipping/immersion method, water-based, indoor use, occasionally wet;kilogram;GLO;210
oxidation of methanol;formaldehyde;kilogram;RoW;211
market for electric bicycle;electric bicycle;unit;GLO;212
cathode-ray tube production, cathode ray tube display;cathode-ray tube, cathode ray tube display;kilogram;GLO;213
treatment of wastewater from ceramic production, capacity 5E9l/year;wastewater from ceramic production;cubic meter;RoW;214
land already in use, perennial cropland to pasture, man made;land tenure, arable land, measured as carbon net primary productivity, pasture, man made;kilogram;BR-MG;215
electricity production, hydro, reservoir, non-alpine region;electricity, high voltage;kilowatt hour;CA-MB;216
treatment of used beverage cans, for recycling, unsorted, sorting;aluminium scrap, post-consumer, prepared for melting;kilogram;CH;217
heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical;electricity, high voltage;kilowatt hour;GB;218
potato production, Swiss integrated production, intensive;potato, Swiss integrated production;kilogram;CH;219
electricity voltage transformation from medium to low voltage;electricity, low voltage;kilowatt hour;CA-ON;220
market for sawlog and veneer log, softwood, measured as solid wood under bark;sawlog and veneer log, softwood, measured as solid wood under bark;cubic meter;Europe without Switzerland;221
market for cement, unspecified;cement, unspecified;kilogram;IN;222
inductor production, low value multilayer chip;inductor, low value multilayer chip;kilogram;GLO;223
peach production;peach;kilogram;RoW;224
market for wood preservation, spray tunnel/deluging, organic solvent-based, indoor use, occasionally wet;wood preservation, spray tunnel/deluging, organic solvent-based, indoor use, occasionally wet;kilogram;GLO;225
internet access equipment production;internet access equipment;unit;RoW;226
