dataset name,reference product,dataset location,exchange name,exchange categories,exchange unit,exchange amount,exchange type
"electricity production, at lignite-fired IGCC power plant, pre, pipeline 200km, storage 1000m","electricity, high voltage",RER,"Xylenes, unspecified","('air', 'non-urban air or from high stacks')",kilogram,5.544000032386975e-06,biosphere
"electricity production, at wood burning power plant","electricity, high voltage",RER,Ethyl benzene,"('air', 'urban air close to ground')",kilogram,3.6000000136482413e-07,biosphere
"electricity production, at wood burning power plant","electricity, high voltage",RER,Hexachlorobenzene,"('air', 'urban air close to ground')",kilogram,8.640000336273407e-14,biosphere
"electricity production, at wood burning power plant","electricity, high voltage",RER,Calcium II,"('air', 'urban air close to ground')",kilogram,7.020000339252874e-05,biosphere
"electricity production, at wood burning power plant","electricity, high voltage",RER,Pentachlorophenol,"('air', 'urban air close to ground')",kilogram,9.719999805035684e-11,biosphere
"electricity production, at wood burning power plant","electricity, high voltage",RER,Sodium I,"('air', 'urban air close to ground')",kilogram,1.5600000551785342e-05,biosphere
"electricity production, at wood burning power plant, post, pipeline 200km, storage 1000m","electricity, high voltage",RER,Ethyl benzene,"('air', 'urban air close to ground')",kilogram,3.6000000136482413e-07,biosphere
"electricity production, at wood burning power plant, post, pipeline 200km, storage 1000m","electricity, high voltage",RER,Hexachlorobenzene,"('air', 'urban air close to ground')",kilogram,8.640000336273407e-14,biosphere
"electricity production, at wood burning power plant, post, pipeline 200km, storage 1000m","electricity, high voltage",RER,Calcium II,"('air', 'urban air close to ground')",kilogram,7.020000339252874e-05,biosphere
"electricity production, at wood burning power plant, post, pipeline 200km, storage 1000m","electricity, high voltage",RER,Pentachlorophenol,"('air', 'urban air close to ground')",kilogram,9.719999805035684e-11,biosphere
"electricity production, at wood burning power plant, post, pipeline 200km, storage 1000m","electricity, high voltage",RER,Sodium I,"('air', 'urban air close to ground')",kilogram,1.5600000551785342e-05,biosphere
"drilling, deep borehole","drilling, deep borehole",RER,"AOX, Adsorbable Organic Halides","('water', 'surface water')",kilogram,4.780000040227605e-07,biosphere
"drilling, deep borehole","drilling, deep borehole",RER,Dichloromethane,"('water', 'surface water')",kilogram,0.05999999865889549,biosphere
"drilling, deep borehole","drilling, deep borehole",RER,Strontium II,"('water', 'surface water')",kilogram,0.017999999225139618,biosphere
"electricity production, at co-firing wood and coal power plant, 50-50","electricity, high voltage",RER,Propylene,"('air', 'non-urban air or from high stacks')",kilogram,4.800000041882413e-08,biosphere
"electricity production, at co-firing wood and coal power plant, 50-50","electricity, high voltage",RER,Strontium II,"('air', 'non-urban air or from high stacks')",kilogram,2.137499954812938e-09,biosphere
"electricity production, at co-firing wood and coal power plant, 50-50","electricity, high voltage",RER,"Xylenes, unspecified","('air', 'non-urban air or from high stacks')",kilogram,2.7562500690692104e-06,biosphere
"electricity production, at co-firing wood and coal power plant, 50-50","electricity, high voltage",RER,Ethyl benzene,"('air', 'urban air close to ground')",kilogram,1.8000000068241206e-07,biosphere
"electricity production, at co-firing wood and coal power plant, 50-50","electricity, high voltage",RER,Hexachlorobenzene,"('air', 'urban air close to ground')",kilogram,4.3200001681367034e-14,biosphere
"electricity production, at co-firing wood and coal power plant, 50-50","electricity, high voltage",RER,Calcium II,"('air', 'urban air close to ground')",kilogram,3.510000169626437e-05,biosphere
"electricity production, at co-firing wood and coal power plant, 50-50","electricity, high voltage",RER,Pentachlorophenol,"('air', 'urban air close to ground')",kilogram,4.859999902517842e-11,biosphere
"electricity production, at co-firing wood and coal power plant, 50-50","electricity, high voltage",RER,Sodium I,"('air', 'urban air close to ground')",kilogram,7.800000275892671e-06,biosphere
"electricity production, at co-firing wood and coal power plant, 80-20","electricity, high voltage",RER,Propylene,"('air', 'non-urban air or from high stacks')",kilogram,1.9199999812258284e-08,biosphere
"electricity production, at co-firing wood and coal power plant, 80-20","electricity, high voltage",RER,Strontium II,"('air', 'non-urban air or from high stacks')",kilogram,8.55000015231866e-10,biosphere
"electricity production, at co-firing wood and coal power plant, 80-20","electricity, high voltage",RER,"Xylenes, unspecified","('air', 'non-urban air or from high stacks')",kilogram,1.1025000503650517e-06,biosphere
"electricity production, at co-firing wood and coal power plant, 80-20","electricity, high voltage",RER,Ethyl benzene,"('air', 'urban air close to ground')",kilogram,2.879999954075174e-07,biosphere
"electricity production, at co-firing wood and coal power plant, 80-20","electricity, high voltage",RER,Hexachlorobenzene,"('air', 'urban air close to ground')",kilogram,6.912000269018725e-14,biosphere
"electricity production, at co-firing wood and coal power plant, 80-20","electricity, high voltage",RER,Calcium II,"('air', 'urban air close to ground')",kilogram,5.615999907604419e-05,biosphere
"electricity production, at co-firing wood and coal power plant, 80-20","electricity, high voltage",RER,Pentachlorophenol,"('air', 'urban air close to ground')",kilogram,7.775999982806425e-11,biosphere
"electricity production, at co-firing wood and coal power plant, 80-20","electricity, high voltage",RER,Sodium I,"('air', 'urban air close to ground')",kilogram,1.2479999895731453e-05,biosphere
"carbon fiber production, exhaust gas treatment 1","carbon fiber production, exhaust gas treatment 1",RER,Argon,"('air',)",kilogram,0.012598425149917603,biosphere
"trimethylchlorosilane production, for LiS battery",trimethylchlorosilane,GLO,Methylchloride,"('air',)",kilogram,0.0041297501884400845,biosphere
"vanadium pentoxide bearing cast iron, production",vanadium pentoxide bearing cast iron,ZA,Hexachlorobenzene,"('air',)",kilogram,1.999999987845058e-08,biosphere
vanadium slag production,vanadium slag,ZA,Argon,"('air',)",kilogram,0.003289999905973673,biosphere
vanadium slag production,vanadium slag,ZA,Hexachlorobenzene,"('air',)",kilogram,1.999999987845058e-08,biosphere
"methyl viologen (MV) production, negolyte active material, for RFB","electroactive material, MV",RER,o-Dichlorobenzene,"('air', 'urban air close to ground')",kilogram,4.047200127388351e-05,biosphere
"methyl viologen (MV) production, negolyte active material, for RFB","electroactive material, MV",RER,o-Dichlorobenzene,"('water', 'surface water')",kilogram,9.713300096336752e-05,biosphere
"methyl viologen (MV) production, negolyte active material, for RFB","electroactive material, MV",RER,Isobutanol,"('air', 'urban air close to ground')",kilogram,1.3457999557431322e-05,biosphere
"methyl viologen (MV) production, negolyte active material, for RFB","electroactive material, MV",RER,Isobutanol,"('water', 'surface water')",kilogram,3.229999856557697e-05,biosphere
"methyl viologen (MV) production, negolyte active material, for RFB","electroactive material, MV",RER,Isopropanol,"('air', 'urban air close to ground')",kilogram,2.8906000807182863e-05,biosphere
"methyl viologen (MV) production, negolyte active material, for RFB","electroactive material, MV",RER,Isopropanol,"('water', 'surface water')",kilogram,0.00014164000458549708,biosphere
"methyl viologen (MV) production, negolyte active material, for RFB","electroactive material, MV",RER,Monochlorobenzene,"('water', 'surface water')",kilogram,5.768000119132921e-05,biosphere
