dataset;location;Sum of production volume
electricity production, natural gas, combined cycle power plant;IN-TR;1956.545872
electricity production, natural gas, combined cycle power plant;IN-DL;3007.048048
electricity production, natural gas, combined cycle power plant;IN-HR;1338.129246
electricity production, natural gas, combined cycle power plant;IN-RJ;2138.180781
electricity production, natural gas, combined cycle power plant;IN-UP;4005.605105
electricity production, natural gas, combined cycle power plant;IN-AP;5004.547659
electricity production, natural gas, combined cycle power plant;IN-KL;819.8605186
electricity production, natural gas, combined cycle power plant;IN-PY;103.2430708
electricity production, natural gas, combined cycle power plant;IN-TN;2319.389495
electricity production, natural gas, combined cycle power plant;IN-GA;172.0124957
electricity production, natural gas, combined cycle power plant;IN-GJ;10602.06957
electricity production, natural gas, combined cycle power plant;IN-MH;7134.171658
electricity production, natural gas, combined cycle power plant;IR;76623.5395
electricity production, natural gas, combined cycle power plant;IT;33822.24451
electricity production, natural gas, combined cycle power plant;JO;8976.360779
electricity production, natural gas, combined cycle power plant;JP;175448.0006
electricity production, natural gas, combined cycle power plant;KR;32185.84659
electricity production, natural gas, combined cycle power plant;KW;7392.125135
electricity production, natural gas, combined cycle power plant;LY;7889.034574
electricity production, natural gas, combined cycle power plant;MA;3819.746426
electricity production, natural gas, combined cycle power plant;MM;3944.818857
electricity production, natural gas, combined cycle power plant;US-MRO;12899.532
electricity production, natural gas, combined cycle power plant;MX;117303.106
electricity production, natural gas, combined cycle power plant;MY;36141.59992
electricity production, natural gas, combined cycle power plant;NG;2109.290679
electricity production, natural gas, combined cycle power plant;NL;15469.97014
electricity production, natural gas, combined cycle power plant;NO;1.087826659
electricity production, natural gas, combined cycle power plant;US-NPCC;70359.371
electricity production, natural gas, combined cycle power plant;NZ;3559.118368
electricity production, natural gas, combined cycle power plant;OM;6862.509646
electricity production, natural gas, combined cycle power plant;PE;18186.87885
electricity production, natural gas, combined cycle power plant;PH;15989.15196
electricity production, natural gas, combined cycle power plant;PK;11693.98847
