ISO2,PLANT_FUEL,NET_ELECTRICITY_GENERATION_MWH,FUEL_INPUT_LHV_MJ,NET_ELECTRICAL_EFFICIENCY,CHP_PLANT,PLANT_EMISSION_CO2_KG,PLANT_EMISSION_CH4_KG,PLANT_EMISSION_SO2_KG,PLANT_EMISSION_NOX_KG,PLANT_EMISSION_PM_2.5_KG,PLANT_EMISSION_PM_10_TO_2.5_KG,PLANT_EMISSION_PM_GR_10_KG,PLANT_EMISSION_HG_0_KG,PLANT_EMISSION_HG_2P_KG,PLANT_EMISSION_HG_P_KG
US,Subbituminous coal,1792276.935,20012216139,0.322412916,FALSE,1803320628,NA,5090247.157,1177725.367,259618.3818,263151.3121,226290.8501,5.911030884,5.652496041,0.024604382
CN,Coal blend,229869.5457,3314740747,0.24965161,TRUE,308207582.2,NA,663130.0688,541463.1078,55467.55263,93075.35452,366315.7001,3.792086938,0.528031176,0.008955845
CN,Coal blend,229869.5457,3314740747,0.24965161,TRUE,308207582.2,NA,663130.0688,541463.1078,55467.55263,93075.35452,366315.7001,3.792086938,0.528031176,0.008955845
CN,Coal blend,229869.5457,3314740747,0.24965161,TRUE,308207582.2,NA,663130.0688,541463.1078,55467.55263,93075.35452,366315.7001,3.792086938,0.528031176,0.008955845
CN,Coal blend,459739.0913,5895613496,0.280727482,FALSE,548179456.3,NA,1179446.262,963048.8321,77392.8157,78445.99005,67457.80455,6.757155309,0.940903708,0.001652302
CN,Coal blend,459739.0913,5895613496,0.280727482,FALSE,548179456.3,NA,1179446.262,963048.8321,77392.8157,78445.99005,67457.80455,6.757155309,0.940903708,0.001652302
CN,Coal blend,919478.1826,12144939735,0.272551493,TRUE,1129247442,NA,2429654.484,1983876.663,159428.8844,161598.4193,138962.802,13.91971235,1.938257798,0.003403735
CN,Coal blend,919478.1826,12144939735,0.272551493,TRUE,1129247442,NA,2429654.484,1983876.663,159428.8844,161598.4193,138962.802,13.91971235,1.938257798,0.003403735
PL,Bituminous coal,86595.98706,1154080764,0.270124556,FALSE,112882225.8,NA,292998.3793,186131.8206,6010.159855,6091.947114,5238.628226,2.673807416,1.709635963,0.005178332
PL,Bituminous coal,73135.34446,1154080764,0.228135888,TRUE,112882225.8,NA,292998.3793,186131.8206,6010.159855,6091.947114,5238.628226,2.673807416,1.709635963,0.005178332
