Units,scenario,region,sector,output,Year,value
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,MiscCrop,biomass,2060,0.00287697975384
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,MiscCrop,biomass,2065,0.00375627121069
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,MiscCrop,biomass,2070,0.00461829424773
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,MiscCrop,biomass,2075,0.00536800166767
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,MiscCrop,biomass,2080,0.00563868752458
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,MiscCrop,biomass,2085,0.00579689108533
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,MiscCrop,biomass,2090,0.00587373377936
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,MiscCrop,biomass,2095,0.0058911227877800005
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,MiscCrop,biomass,2100,0.00587098072354
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NonFoodDemand_sawnwood,biomass,1975,0.0199215
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NonFoodDemand_sawnwood,biomass,1990,0.0396424
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NonFoodDemand_sawnwood,biomass,2005,0.0589482
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NonFoodDemand_sawnwood,biomass,2010,0.0536029
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NonFoodDemand_sawnwood,biomass,2015,0.0388542
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NonFoodDemand_sawnwood,biomass,2021,0.0367201
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NonFoodDemand_sawnwood,biomass,2025,0.0365573
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NonFoodDemand_sawnwood,biomass,2030,0.0339371
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NonFoodDemand_sawnwood,biomass,2035,0.0338623
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NonFoodDemand_sawnwood,biomass,2040,0.0351432
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NonFoodDemand_sawnwood,biomass,2045,0.0370898
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NonFoodDemand_sawnwood,biomass,2050,0.0405603
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NonFoodDemand_sawnwood,biomass,2055,0.0447489
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NonFoodDemand_sawnwood,biomass,2060,0.0467488
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NonFoodDemand_sawnwood,biomass,2065,0.0487537
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NonFoodDemand_sawnwood,biomass,2070,0.0504505
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NonFoodDemand_sawnwood,biomass,2075,0.0517451
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NonFoodDemand_sawnwood,biomass,2080,0.0520193
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NonFoodDemand_sawnwood,biomass,2085,0.051941
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NonFoodDemand_sawnwood,biomass,2090,0.0516791
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NonFoodDemand_sawnwood,biomass,2095,0.0512776
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NonFoodDemand_sawnwood,biomass,2100,0.0508009
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NutsSeeds,biomass,1975,0.00158584678655
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NutsSeeds,biomass,1990,0.0006733832022299999
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NutsSeeds,biomass,2005,0.00152066019183
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NutsSeeds,biomass,2010,0.00179047615565
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NutsSeeds,biomass,2015,0.0030911118721
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NutsSeeds,biomass,2021,0.0048750156713
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NutsSeeds,biomass,2025,0.0048449865764
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NutsSeeds,biomass,2030,0.0053919429029
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NutsSeeds,biomass,2035,0.0063276033909
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NutsSeeds,biomass,2040,0.0075128019404
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NutsSeeds,biomass,2045,0.008833431040096
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NutsSeeds,biomass,2050,0.0105616970595
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NutsSeeds,biomass,2055,0.012463120061100001
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NutsSeeds,biomass,2060,0.0166532139367
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NutsSeeds,biomass,2065,0.0211082582193
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NutsSeeds,biomass,2070,0.0254180441207
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NutsSeeds,biomass,2075,0.0288243789892
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NutsSeeds,biomass,2080,0.029454935165199998
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NutsSeeds,biomass,2085,0.0300933293947
