Units,scenario,region,sector,Year,value
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",European Free Trade Association,biomass,2035,0.357400171766652
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",European Free Trade Association,biomass,2040,0.47979533613249903
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",European Free Trade Association,biomass,2045,0.63850112936114
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",European Free Trade Association,biomass,2050,0.93829317335118
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",European Free Trade Association,biomass,2055,1.256253491149
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",European Free Trade Association,biomass,2060,1.3707296392492
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",European Free Trade Association,biomass,2065,1.3102685324755
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",European Free Trade Association,biomass,2070,1.2703562105191
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",European Free Trade Association,biomass,2075,1.2354429790924
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",European Free Trade Association,biomass,2080,1.187186521468
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",European Free Trade Association,biomass,2085,1.1649994874851
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",European Free Trade Association,biomass,2090,1.1441233610672
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",European Free Trade Association,biomass,2095,1.1245923090416998
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",European Free Trade Association,biomass,2100,1.1011488900173998
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",India,biomass,2025,0.120806646756978
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",India,biomass,2030,0.22023694208591
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",India,biomass,2035,0.29413560069194
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",India,biomass,2040,0.38636754005112
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",India,biomass,2045,0.51024774109246
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",India,biomass,2050,0.74137204704462
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",India,biomass,2055,0.95359827130842
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",India,biomass,2060,1.10635928221246
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",India,biomass,2065,1.17247400856956
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",India,biomass,2070,1.25033550758576
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",India,biomass,2075,1.41162685336896
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",India,biomass,2080,1.57846271692362
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",India,biomass,2085,1.62274247486128
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",India,biomass,2090,1.64324650334448
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",India,biomass,2095,1.63985150929304
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",India,biomass,2100,1.63071812126702
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Indonesia,biomass,2025,0.008015997394544
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Indonesia,biomass,2030,0.02865566913049
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Indonesia,biomass,2035,0.071481593201
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Indonesia,biomass,2040,0.1711209233243
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Indonesia,biomass,2045,0.3568743614619
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Indonesia,biomass,2050,0.7431015914147
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Indonesia,biomass,2055,1.2332238862506
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Indonesia,biomass,2060,1.5327797322334
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Indonesia,biomass,2065,1.5415780442451001
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Indonesia,biomass,2070,1.5052489790845
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Indonesia,biomass,2075,1.4325583397577
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Indonesia,biomass,2080,1.2468001730954
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Indonesia,biomass,2085,1.1578518862686
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Indonesia,biomass,2090,1.0883286409998
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Indonesia,biomass,2095,1.0314121326742
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Indonesia,biomass,2100,0.9915858943843
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Japan,biomass,2025,0.2082739150455
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Japan,biomass,2030,0.3137597130033
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Japan,biomass,2035,0.4090468929738
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Japan,biomass,2040,0.5145498706916
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Japan,biomass,2045,0.6183746949148
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Japan,biomass,2050,0.79339609866
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Japan,biomass,2055,1.03198047194
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Japan,biomass,2060,1.204601550617
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Japan,biomass,2065,1.28283888063
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Japan,biomass,2070,1.354337530761
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Japan,biomass,2075,1.375741497556
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Japan,biomass,2080,1.4024090513710001
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Japan,biomass,2085,1.428812899865
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Japan,biomass,2090,1.449203529847
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Japan,biomass,2095,1.45763631506
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Japan,biomass,2100,1.453942980231
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Mexico,biomass,2025,0.03454814819
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Mexico,biomass,2030,0.07904679431
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Mexico,biomass,2035,0.12894243039
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Mexico,biomass,2040,0.20088279839
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Mexico,biomass,2045,0.29966953165
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Mexico,biomass,2050,0.473291048
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Mexico,biomass,2055,0.6673251782
