Units,scenario,region,Year,account,value
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Australia_NZ,1990,gdp-per-capita-ppp,16.5575
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Australia_NZ,2005,gdp-per-capita-ppp,23.3505
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Australia_NZ,2010,gdp-per-capita-ppp,24.4876
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Australia_NZ,2015,gdp-per-capita-ppp,26.1505
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Australia_NZ,2021,gdp-per-capita-ppp,27.1617
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Australia_NZ,2025,gdp-per-capita-ppp,29.3985
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Australia_NZ,2030,gdp-per-capita-ppp,32.3069
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Australia_NZ,2035,gdp-per-capita-ppp,35.3509
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Australia_NZ,2040,gdp-per-capita-ppp,38.5289
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Australia_NZ,2045,gdp-per-capita-ppp,41.8641
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Australia_NZ,2050,gdp-per-capita-ppp,45.1732
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Australia_NZ,2055,gdp-per-capita-ppp,48.4753
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Australia_NZ,2060,gdp-per-capita-ppp,51.8823
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Australia_NZ,2065,gdp-per-capita-ppp,55.4528
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Australia_NZ,2070,gdp-per-capita-ppp,59.047
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Australia_NZ,2075,gdp-per-capita-ppp,62.607
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Australia_NZ,2080,gdp-per-capita-ppp,66.1215
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Australia_NZ,2085,gdp-per-capita-ppp,69.6243
