metal,unit,year,mean,median,min,max,origin_var
Rhodium,kg metal/kg vehicle,2020,5.416666666666668e-09,5e-09,5e-09,6.2500000000000005e-09,ICEV
Ruthenium,kg metal/kg vehicle,2020,2.886339945365267e-06,3.4426498461538462e-06,1.6943668750000005e-06,3.756720689655172e-06,ICEV
Rubidium,kg metal/kg vehicle,2020,4.342440897977597e-06,4.335985846153846e-06,2.549688125e-06,6.324755172413792e-06,ICEV
Samarium,kg metal/kg vehicle,2020,1.4997616709030111e-06,1.4595378571428571e-06,2.6875e-07,2.8249124137931035e-06,ICEV
Scandium,kg metal/kg vehicle,2020,6.818181818181819e-07,6.818181818181819e-07,6.818181818181819e-07,6.818181818181819e-07,ICEV
Silver,kg metal/kg vehicle,2020,0.0007672283541926,0.0008060301593846,0.000466443865625,0.0010753658096551,ICEV
Strontium,kg metal/kg vehicle,2020,0.0709353756414274,0.0826391555110344,0.0454959531893749,0.0873035916448484,ICEV
Tantalum,kg metal/kg vehicle,2020,0.000300993485791,0.0003331489888392,3.4950000000000004e-06,0.0007026949365517,ICEV
Tellurium,kg metal/kg vehicle,2020,1.306889303578318e-06,1.4493163076923074e-06,7.90149375e-07,1.747942068965517e-06,ICEV
Terbium,kg metal/kg vehicle,2020,3.7139942753804313e-06,3.441894285714286e-06,0.0,9.93e-06,ICEV
Tin,kg metal/kg vehicle,2020,0.0262091989263863,0.0250203190030769,0.0165581139,0.0378826072344827,ICEV
Tungsten,kg metal/kg vehicle,2020,1.522002756863022e-05,1.6388899692307694e-05,9.6448175e-06,2.008108965517241e-05,ICEV
Ytterbium,kg metal/kg vehicle,2020,4.525909090909091e-08,4.0518181818181815e-08,0.0,1.0000000000000001e-07,ICEV
Yttrium,kg metal/kg vehicle,2020,3.590235092857303e-05,4.526537625e-05,1e-08,8.741585575757575e-05,ICEV
Zirconium,kg metal/kg vehicle,2020,0.0009118477046889,0.0007863159999999,0.000644241115625,0.0012417878484848,ICEV
Aluminium,kg metal/kg motor,2020,0.2055108382829945,0.2252697267412005,0.1066027050436404,0.3632635778119498,EV
Boron,kg metal/kg motor,2020,0.0003860011812609,0.000379718036148,0.0003181818181818,0.0004663868345659,EV
Cerium,kg metal/kg motor,2020,0.0007755660377358,0.0007755660377358,5.849056603773585e-06,0.0015452830188679,EV
Cobalt,kg metal/kg motor,2020,0.0003860531732418,0.0004125214408233,4.716981132075473e-05,0.000672,EV
Dysprosium,kg metal/kg motor,2020,0.0021037341342711,0.0015094339622641,1.8867924528301888e-05,0.0067924528301886,EV
Erbium,kg metal/kg motor,2020,3.396226415094339e-06,3.396226415094339e-06,3.396226415094339e-06,3.396226415094339e-06,EV
Europium,kg metal/kg motor,2020,4.452830188679247e-06,4.452830188679246e-06,1.886792452830189e-07,8.716981132075473e-06,EV
Gadolinium,kg metal/kg motor,2020,3.3632075471698117e-06,3.3632075471698117e-06,1.886792452830189e-07,6.537735849056604e-06,EV
Gallium,kg metal/kg motor,2020,8.396411945214638e-06,8.207547169811321e-06,6.6626690652275305e-06,1.0754716981132076e-05,EV
Indium,kg metal/kg motor,2020,1.509433962264151e-06,1.509433962264151e-06,1.509433962264151e-06,1.509433962264151e-06,EV
Lanthanum,kg metal/kg motor,2020,0.0001392924528301,0.0001392924528301,0.000126037735849,0.0001525471698113,EV
Lithium,kg metal/kg motor,2020,0.1180481132075471,0.1180481132075471,0.1180481132075471,0.1180481132075471,EV
Manganese,kg metal/kg motor,2020,0.0109220105883548,0.0109220105883548,0.0109220105883548,0.0109220105883548,EV
Neodymium,kg metal/kg motor,2020,0.0054045033708898,0.0045306149643547,3.301886792452831e-05,0.0144622641509433,EV
Niobium,kg metal/kg motor,2020,0.0020592452830188,0.0020592452830188,0.0020592452830188,0.0020592452830188,EV
Palladium,kg metal/kg motor,2020,3.415094339622642e-05,3.415094339622642e-05,3.415094339622642e-05,3.415094339622642e-05,EV
Platinum,kg metal/kg motor,2020,0.0001039622641509,0.0001039622641509,0.0001039622641509,0.0001039622641509,EV
Praseodymium,kg metal/kg motor,2020,0.0006156482314043,0.0007995202878273,2.6066851046193066e-06,0.0011143054534108,EV
Rhodium,kg metal/kg motor,2020,1.886792452830189e-07,1.886792452830189e-07,1.886792452830189e-07,1.886792452830189e-07,EV
Samarium,kg metal/kg motor,2020,4.391509433962264e-05,4.391509433962264e-05,2.641509433962264e-05,6.141509433962264e-05,EV
Scandium,kg metal/kg motor,2020,1.9811320754716984e-05,1.9811320754716984e-05,1.9811320754716984e-05,1.9811320754716984e-05,EV
Tantalum,kg metal/kg motor,2020,0.0002043396226415,0.0002043396226415,0.0002043396226415,0.0002043396226415,EV
Terbium,kg metal/kg motor,2020,0.0001708257998891,0.0001548636855622,1.941509433962264e-08,0.000374716981132,EV
Ytterbium,kg metal/kg motor,2020,1.5252830188679246e-06,1.5252830188679246e-06,3.169811320754717e-08,3.018867924528302e-06,EV
Yttrium,kg metal/kg motor,2020,7.816037735849057e-06,7.816037735849057e-06,4.339622641509434e-06,1.1292452830188678e-05,EV
Dysprosium,kg metal/kg motor,2050,1.5732438527971837e-05,1.416469552780681e-05,1.2596952527641783e-05,1.8867924528301888e-05,EV
Neodymium,kg metal/kg motor,2050,2.7567639729441088e-05,2.4842025631897474e-05,2.2116411534353863e-05,3.301886792452831e-05,EV
Aluminium,kg/MW,2020,780.0,780.0,500.0,1060.0,Wind-DDPM
Boron,kg/MW,2020,6.790625,6.9,6.0,7.3625,Wind-DDPM
Chromium,kg/MW,2020,475.765,409.28,239.0,845.5,Wind-DDPM
Copper,kg/MW,2020,4796.0,3850.0,1484.0,10000.0,Wind-DDPM
Dysprosium,kg/MW,2020,22.705069444444444,22.78,12.0,42.0,Wind-DDPM
Lead,kg/MW,2020,6720.0,6720.0,6720.0,6720.0,Wind-DDPM
Manganese,kg/MW,2020,423.25,423.25,56.5,790.0,Wind-DDPM
Molybdenum,kg/MW,2020,103.43833333333332,109.0,75.315,126.0,Wind-DDPM
Neodymium,kg/MW,2020,179.25361842105264,183.0,116.0,217.19375,Wind-DDPM
Nickel,kg/MW,2020,342.914,376.57,111.0,610.0,Wind-DDPM
Niobium,kg/MW,2020,37.657,37.657,37.657,37.657,Wind-DDPM
Praseodymium,kg/MW,2020,32.06071428571429,35.0,12.0,50.625,Wind-DDPM
Terbium,kg/MW,2020,4.666666666666667,6.08,0.54,7.0,Wind-DDPM
Vanadium,kg/MW,2020,45.189350000000005,45.189350000000005,0.0,90.3787,Wind-DDPM
Dysprosium,kg/MW,2050,9.25,7.875,6.5,12.0,Wind-DDPM
Neodymium,kg/MW,2050,97.0,87.5,78.0,116.0,Wind-DDPM
Aluminium,kg/MW,2020,1612.5,1500.0,1240.0,2210.0,Wind-Gearbox
Boron,kg/MW,2020,0.6,0.8,0.0,1.0,Wind-Gearbox
Chromium,kg/MW,2020,563.6,525.0,358.9,845.5,Wind-Gearbox
Dysprosium,kg/MW,2020,2.511111111111111,2.0,0.0,6.0,Wind-Gearbox
Manganese,kg/MW,2020,545.5,780.0,56.5,800.0,Wind-Gearbox
Molybdenum,kg/MW,2020,104.825,109.0,75.30000000000001,126.0,Wind-Gearbox
Neodymium,kg/MW,2020,18.95555555555556,12.0,0.0,51.0,Wind-Gearbox
Niobium,kg/MW,2020,37.7,37.7,37.7,37.7,Wind-Gearbox
Praseodymium,kg/MW,2020,3.66,4.0,0.0,9.0,Wind-Gearbox
Terbium,kg/MW,2020,0.525,0.55,0.0,1.0,Wind-Gearbox
Vanadium,kg/MW,2020,45.2,45.2,0.0,90.4,Wind-Gearbox
Zinc,kg/MW,2020,5483.333333333333,5500.0,5450.0,5500.0,Wind-Gearbox
Dysprosium,kg/MW,2050,1.2555555555555555,0.6277777777777778,0.0,2.511111111111111,Wind-Gearbox
Neodymium,kg/MW,2050,9.477777777777778,4.738888888888889,0.0,18.95555555555556,Wind-Gearbox
Aluminium,kg/MW,2020,2003.75,2003.75,7.5,4000.0,c-Si
Gallium,kg/MW,2020,9.0,9.0,9.0,9.0,c-Si
Lead,kg/MW,2020,138.10166666666666,72.38,5.925000000000001,336.0,c-Si
Nickel,kg/MW,2020,1.3,1.3,1.3,1.3,c-Si
Silver,kg/MW,2020,38.8394696969697,24.0,5.17,80.0,c-Si
Tin,kg/MW,2020,350.54,350.54,124.08,577.0,c-Si
Zinc,kg/MW,2020,16.735,16.735,16.735,16.735,c-Si
Silver,kg/MW,2050,3.085,2.0425,1.0,5.17,c-Si
Aluminium,kg/MW,2020,16003.75,16003.75,7.5,32000.0,CdTe
