Units,scenario,region,sector,subsector,input,Year,value
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,gas,wholesale gas,2021,0.113946
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,gas,wholesale gas,2025,0.282531
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,gas,wholesale gas,2030,0.29301
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,gas,wholesale gas,2035,0.287208
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,gas,wholesale gas,2040,0.160284
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,gas,wholesale gas,2045,0.0836576
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,gas,wholesale gas,2050,0.0274737
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,gas,wholesale gas,2055,0.0105638
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,gas,wholesale gas,2060,0.00408313
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,gas,wholesale gas,2065,0.00194511
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,gas,wholesale gas,2070,0.000972175
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,gas,wholesale gas,2075,0.000535215
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,gas,wholesale gas,2080,0.000303349
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,gas,wholesale gas,2085,0.000187469
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,gas,wholesale gas,2090,0.000119261
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,gas,wholesale gas,2095,7.38415e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,gas,wholesale gas,2100,4.54555e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,refined liquids,refined liquids industrial,1975,0.0252247
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,refined liquids,refined liquids industrial,1990,0.249606
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,refined liquids,refined liquids industrial,2005,0.0177063
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,refined liquids,refined liquids industrial,2010,0.0109257
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,refined liquids,refined liquids industrial,2015,0.00473061
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,refined liquids,refined liquids industrial,2021,0.00732567
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,refined liquids,refined liquids industrial,2025,0.0170181
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,refined liquids,refined liquids industrial,2030,0.0163795
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,refined liquids,refined liquids industrial,2035,0.01577
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,refined liquids,refined liquids industrial,2040,0.0140168
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,refined liquids,refined liquids industrial,2045,0.00754459
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,refined liquids,refined liquids industrial,2050,0.00250665
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,refined liquids,refined liquids industrial,2055,0.000990564
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,refined liquids,refined liquids industrial,2060,0.000381519
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,refined liquids,refined liquids industrial,2065,0.000211321
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,refined liquids,refined liquids industrial,2070,0.000117021
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,refined liquids,refined liquids industrial,2075,6.1413e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,refined liquids,refined liquids industrial,2080,3.36543e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,refined liquids,refined liquids industrial,2085,2.02538e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,refined liquids,refined liquids industrial,2090,1.27191e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,refined liquids,refined liquids industrial,2095,7.93411e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,refined liquids,refined liquids industrial,2100,4.95039e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,biomass,delivered biomass,1975,0.0890114
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,biomass,delivered biomass,2005,0.0165765
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,biomass,delivered biomass,2010,0.0232748
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,biomass,delivered biomass,2015,0.0258283
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,biomass,delivered biomass,2021,0.0314377
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,biomass,delivered biomass,2025,0.0833127
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,biomass,delivered biomass,2030,0.0826063
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,biomass,delivered biomass,2035,0.0871272
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,biomass,delivered biomass,2040,0.0703889
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,biomass,delivered biomass,2045,0.0313292
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,biomass,delivered biomass,2050,0.0125979
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,biomass,delivered biomass,2055,0.00557685
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,biomass,delivered biomass,2060,0.0022058
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,biomass,delivered biomass,2065,0.000986669
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,biomass,delivered biomass,2070,0.000457236
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,biomass,delivered biomass,2075,0.000243303
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,biomass,delivered biomass,2080,0.000137715
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,biomass,delivered biomass,2085,8.49144e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,biomass,delivered biomass,2090,5.31931e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,biomass,delivered biomass,2095,3.25986e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,biomass,delivered biomass,2100,1.96059e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,coal,delivered coal,1975,0.0212607
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,coal,delivered coal,1990,0.058269
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,coal,delivered coal,2005,0.0150695
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,coal,delivered coal,2010,0.0140235
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,coal,delivered coal,2015,0.00941876
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,coal,delivered coal,2021,0.00749309
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,coal,delivered coal,2025,0.0176717
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,coal,delivered coal,2030,0.0171227
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,coal,delivered coal,2035,0.0181433
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,coal,delivered coal,2040,0.00151812
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,coal,delivered coal,2045,0.000838827
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,coal,delivered coal,2050,0.000369837
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,coal,delivered coal,2055,0.000168481
