Units,scenario,region,sector,Year,value
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Canada,biomass,2095,0.951109143274424
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Canada,biomass,2100,0.905434551438939
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Central America and Caribbean,biomass,2025,0.0498546408221
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Central America and Caribbean,biomass,2030,0.09219739112
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Central America and Caribbean,biomass,2035,0.133871847471
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Central America and Caribbean,biomass,2040,0.26338637190499997
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Central America and Caribbean,biomass,2045,0.318346733426
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Central America and Caribbean,biomass,2050,0.346667765216
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Central America and Caribbean,biomass,2055,0.336110704045
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Central America and Caribbean,biomass,2060,0.327654626286
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Central America and Caribbean,biomass,2065,0.296322010261
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Central America and Caribbean,biomass,2070,0.263745550809
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Central America and Caribbean,biomass,2075,0.23308307717
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Central America and Caribbean,biomass,2080,0.20219123397299998
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Central America and Caribbean,biomass,2085,0.169600306426
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Central America and Caribbean,biomass,2090,0.136894381194
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Central America and Caribbean,biomass,2095,0.1035627258169
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Central America and Caribbean,biomass,2100,0.0857609287652
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Central Asia,biomass,2025,0.037206307149500004
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Central Asia,biomass,2030,0.0730946550412
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Central Asia,biomass,2035,0.106385060479
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Central Asia,biomass,2040,0.3982788058
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Central Asia,biomass,2045,0.41728077921100004
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Central Asia,biomass,2050,0.425871505677
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Central Asia,biomass,2055,0.435163486124
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Central Asia,biomass,2060,0.43344005068499997
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Central Asia,biomass,2065,0.390567274484
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Central Asia,biomass,2070,0.320952806689
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Central Asia,biomass,2075,0.259612686542
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Central Asia,biomass,2080,0.218858932238
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Central Asia,biomass,2085,0.19126334397
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Central Asia,biomass,2090,0.171550507264
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Central Asia,biomass,2095,0.146802053462
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Central Asia,biomass,2100,0.142967622218
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,biomass,2025,0.200482822390129
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,biomass,2030,0.439032747244369
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,biomass,2035,0.72231074066886
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,biomass,2040,3.9818129340096298
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,biomass,2045,4.45065839672665
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,biomass,2050,4.848466701650589
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,biomass,2055,5.10741069944431
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,biomass,2060,5.15527618509053
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,biomass,2065,4.73547747544697
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,biomass,2070,3.939012933203069
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,biomass,2075,3.21123874737
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,biomass,2080,2.69056525133
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,biomass,2085,2.23705139825
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,biomass,2090,1.83118897386
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,biomass,2095,1.3548231220393
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,biomass,2100,1.282795881469
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Colombia,biomass,2025,0.0056698149773
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Colombia,biomass,2030,0.012604128156
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Colombia,biomass,2035,0.0205390289663
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Colombia,biomass,2040,0.08901534837
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Colombia,biomass,2045,0.12075832919
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Colombia,biomass,2050,0.13915535951
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Colombia,biomass,2055,0.14740977265
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Colombia,biomass,2060,0.14764081731
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Colombia,biomass,2065,0.1397607436
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Colombia,biomass,2070,0.12525026194
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Colombia,biomass,2075,0.11120571308
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Colombia,biomass,2080,0.09708767012
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Colombia,biomass,2085,0.08528006495
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Colombia,biomass,2090,0.07527179672
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Colombia,biomass,2095,0.063687824254
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Colombia,biomass,2100,0.056738231949
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,biomass,2025,0.092455637032182
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,biomass,2030,0.18150077939033
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,biomass,2035,0.271522341835299
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,biomass,2040,0.765693101631984
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,biomass,2045,0.840893573479771
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,biomass,2050,0.820408299166683
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,biomass,2055,0.718452824802725
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,biomass,2060,0.645677636137545
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,biomass,2065,0.521944555485213
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,biomass,2070,0.401841761716623
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,biomass,2075,0.306679218394486
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,biomass,2080,0.231258406828899
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,biomass,2085,0.15826073968219
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,biomass,2090,0.08882301127206
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,biomass,2095,0.028360688518430002
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,biomass,2100,0.017025621048124
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-15,biomass,2025,1.7648405527983
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-15,biomass,2030,2.5840552809468
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-15,biomass,2035,3.3416145477752
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-15,biomass,2040,5.4620876691105
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-15,biomass,2045,5.9664715575666
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-15,biomass,2050,5.8578575690377
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-15,biomass,2055,5.3604792704471
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-15,biomass,2060,5.0675022157758
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-15,biomass,2065,4.4408657471988
