Units,scenario,region,sector,Year,value
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Australia_NZ,biomass,2025,0.0164267280085
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Australia_NZ,biomass,2030,0.038264850304700004
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Australia_NZ,biomass,2035,0.068936973794
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Australia_NZ,biomass,2040,0.312628491588
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Australia_NZ,biomass,2045,0.352805956752
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Australia_NZ,biomass,2050,0.426055296144
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Australia_NZ,biomass,2055,0.534263391683
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Australia_NZ,biomass,2060,0.609015696264
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Australia_NZ,biomass,2065,0.635576244554
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Australia_NZ,biomass,2070,0.6610423498119999
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Australia_NZ,biomass,2075,0.658532716319
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Australia_NZ,biomass,2080,0.662937208988
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Australia_NZ,biomass,2085,0.67432896639
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Australia_NZ,biomass,2090,0.704331473645
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Australia_NZ,biomass,2095,0.720163001701
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Australia_NZ,biomass,2100,0.784926021499
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Brazil,biomass,2025,0.2097263030108
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Brazil,biomass,2030,0.4059495247614
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Brazil,biomass,2035,0.608013430508
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Brazil,biomass,2040,1.60200628559
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Brazil,biomass,2045,1.87950975038
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Brazil,biomass,2050,2.135269557958
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Brazil,biomass,2055,2.197329080872
