Units,scenario,region,subsector,technology,output,Year,value
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,coal,coal (IGCC CCS),electricity,2090,0.056635
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,coal,coal (IGCC CCS),electricity,2095,0.0511316
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,coal,coal (IGCC CCS),electricity,2100,0.0504242
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,coal,coal (IGCC),electricity,2030,0.00231744
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,coal,coal (IGCC),electricity,2035,0.00636902
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,coal,coal (IGCC),electricity,2040,0.0042135
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,coal,coal (IGCC),electricity,2045,0.000413704
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,coal,coal (IGCC),electricity,2050,7.95106e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,coal,coal (IGCC),electricity,2055,2.99111e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,coal,coal (IGCC),electricity,2060,1.17704e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,coal,coal (IGCC),electricity,2065,5.08633e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,coal,coal (IGCC),electricity,2070,2.23738e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,coal,coal (IGCC),electricity,2075,7.57035e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,coal,coal (IGCC),electricity,2080,3.22735e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,coal,coal (IGCC),electricity,2085,1.17045e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,coal,coal (IGCC),electricity,2090,3.6467e-08
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,coal,coal (IGCC),electricity,2095,9.2316e-09
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,coal,coal (IGCC),electricity,2100,2.28339e-09
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,coal,coal (conv pul CCS),electricity,2030,0.00843373
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,coal,coal (conv pul CCS),electricity,2035,0.0284123
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,coal,coal (conv pul CCS),electricity,2040,0.664202
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,coal,coal (conv pul CCS),electricity,2045,1.17933
