Units,scenario,region,sector,output,Year,value
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,1990,0.00201598
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,2005,0.00293417
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,2010,0.00347528
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,2015,0.00529313
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,2021,0.00552292
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,2025,0.00610474
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,2030,0.00698472
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,2035,0.00799851
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,2040,0.00935895
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,2045,0.0106298
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,2050,0.0120702
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,2055,0.0136556
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,2060,0.0152569
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,2065,0.0168337
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,2070,0.0183993
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,2075,0.0198823
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,2080,0.0212878
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,2085,0.0226078
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,2090,0.0237594
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,2095,0.0246221
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,2100,0.0255355
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NutsSeeds,biomass,1975,0.00244913884954
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NutsSeeds,biomass,1990,0.00157823041851
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NutsSeeds,biomass,2005,0.00564357634989
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NutsSeeds,biomass,2010,0.0087360141366
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NutsSeeds,biomass,2015,0.013879243385600001
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NutsSeeds,biomass,2021,0.0192453888419
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NutsSeeds,biomass,2025,0.0225014075642
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NutsSeeds,biomass,2030,0.0257185780205
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NutsSeeds,biomass,2035,0.0293669332951
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NutsSeeds,biomass,2040,0.0407628078527
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NutsSeeds,biomass,2045,0.047416866208899996
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NutsSeeds,biomass,2050,0.0553984200594
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NutsSeeds,biomass,2055,0.0609057210559
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NutsSeeds,biomass,2060,0.0665454644208
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NutsSeeds,biomass,2065,0.0711503128157
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NutsSeeds,biomass,2070,0.0747700178713
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NutsSeeds,biomass,2075,0.076907254617
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NutsSeeds,biomass,2080,0.0780724466916
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NutsSeeds,biomass,2085,0.0785730617436
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NutsSeeds,biomass,2090,0.0771656380442
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NutsSeeds,biomass,2095,0.071988904348
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NutsSeeds,biomass,2100,0.0695445640792
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilCrop,biomass,1975,0.0023461033238000003
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilCrop,biomass,1990,0.005500093329
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilCrop,biomass,2005,0.012970338123
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilCrop,biomass,2010,0.021934376172999998
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilCrop,biomass,2015,0.023699551202
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilCrop,biomass,2021,0.028374007577999998
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilCrop,biomass,2025,0.033443974804
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilCrop,biomass,2030,0.038582682792
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilCrop,biomass,2035,0.049003042864
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilCrop,biomass,2040,0.071813346333
