Model,Scenario,Region,Variable,Unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
WITCH 5.0,ssp2_bau,brazil,Capacity|electricity|Wind|Onshore,NA,0.1122,1.0674,7.449324,18.578838,18.578838,35.07736067,69.08339524,99.61462452,141.70335,181.336116,230.5486053,280.8209409,309.0127446,356.4084395,400.3784074,450.7014337,494.8215591,527.8730993,530.0033688,568.6808199
WITCH 5.0,ssp2_bau,brazil,Capacity|electricity|coal,NA,1.41505,1.416034214,3.225029265,3.043352107,2.603117004,2.226563966,1.904481084,1.628988996,1.393348126,1.191793809,1.019395266,0.871934977,0.745805508,0.637921257,0.545642966,0.466713161,0.399200922,0.341454643,0.292061634,0.249813554
WITCH 5.0,ssp2_bau,brazil,Capacity|electricity|gas,NA,7.19362,8.532007957,10.31110633,12.66710504,10.07882865,8.019416162,6.380804541,5.077011314,4.039622859,3.214204545,2.5574444,2.034880409,1.6190922,1.288262219,1.025030906,0.815585789,0.648936706,0.516339119,0.410835269,0.326889077
WITCH 5.0,ssp2_bau,brazil,Capacity|electricity|nuclear,NA,1.90101,1.885,1.884,1.884,2.598155251,4.359158783,5.761364759,6.179782591,7.614172274,9.348472795,11.14287988,12.92602445,15.28796012,17.01600807,20.00766114,22.2007974,24.20663556,26.39081726,29.25439847,32.40999227
WITCH 5.0,ssp2_bau,brazil,Capacity|electricity|oil,NA,3.579507,6.670817,7.673887,6.105877538,4.858260294,3.865569352,3.075715485,2.447252884,1.947204385,1.549331065,1.232755414,0.980865837,0.780444992,0.620976247,0.494091836,0.393133785,0.312804547,0.248889026,0.198033397,0.157569126
WITCH 5.0,ssp2_bau,brazil,Capacity|electricity|solar,NA,0.104,0.104505411,0.357342,10.798038,12.73394512,20.63351041,44.8519612,113.9693122,143.8461958,194.3179178,248.4692445,305.1322674,373.7718843,432.9417259,511.5707551,573.7477231,627.2693441,675.1557542,737.6577633,761.8214575
WITCH 5.0,ssp2_bau,brazil,Capital Stock,NA,2059.812254,2831.227209,3675.526922,4265.706697,4267.882,4849.141556,5307.161908,5965.365004,6846.384986,8056.888179,9421.620878,10959.35115,12615.47528,14446.91676,16249.95879,18154.86139,20024.08461,21905.20829,23818.90274,25658.22777
WITCH 5.0,ssp2_bau,brazil,Capital cost|electricity|Biomass,NA,2000,2000,2000,2000,2000,0,0,0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
WITCH 5.0,ssp2_bau,brazil,Capital cost|electricity|Biomass|w/ CCS,NA,3693.2,3693.2,3693.2,3693.2,3693.2,3693.2,3693.2,3693.2,3693.2,3693.2,3693.2,3693.2,3693.2,3693.2,3693.2,3693.2,3693.2,3693.2,3693.2,3693.2
WITCH 5.0,ssp2_bau,brazil,Capital cost|electricity|Biomass|w/o CCS,NA,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
